project title,tagline,description,ideas,technologies,topics,contributor_guidance,url
Software and Computational Systems Lab at LMU Munich,Algorithms and Tooling for Software Verification,"The Software and Computational Systems Lab is a research group at LMU Munich, one of the leading universities in Germany. We focus on the development of new models and algorithms to efficiently analyze software systems and emphasize on tool implementations of the theoretical concepts. For GSoC 2024, we propose ideas involving several aspects of software analysis, from implementing and benchmarking verification algorithms to incorporating backend logic solvers. Here is a selection of the open-source projects developed by our group:
CPAchecker is an award-winning framework for formal verification of C programs. It is written in Java and based on a highly modular architecture that allows one to develop and combine a wide range of different analyses. CPAchecker has helped to find hundreds of bugs in the Linux kernel.
CPA-Daemon is a gRPC-based microservice that enables users to run CPAchecker in a cloud setup, with a focus on ease of use and continuous verification.
JavaSMT is a common API layer for accessing various SMT solvers from Java programs without having to use solver-specific APIs and care about subtle details. It supports the majority of common SMT solvers and is used by a wide range of projects.
PJBDD is a multi-threaded Binary Decision Diagram (BDD) library written in Java. It supports concurrent computation, parallel operations, and automated resource management.
BenchExec is a benchmarking framework (written in Python) that uses modern Linux features such as cgroups and namespaces to create benchmarking containers and measure their resource usage.
For a more detailed description and some prospective GSoC topics, please visit our webpage. You are also welcome to suggest your own ideas!",https://www.sosy-lab.org/gsoc/gsoc2025.php,"python, javascript, java, grpc, Quarkus","cloud, software verification, benchmarking, program analysis, SAT & SMT solving",https://www.sosy-lab.org/gsoc/gsoc2025.php#instructions,https://summerofcode.withgoogle.com/programs/2023/organizations/software-and-computational-systems-lab-at-lmu-munich
Genome Assembly and Annotation,Providing freely accessible genomic data,"The Genome Assembly and Annotation section of EMBL-EBI brings together key reference resources in the field of genomics: - Ensembl (http://www.ensembl.org) was created in 1999 in preparation for the publication of the first draft of the human genome, to allow researchers and clinicians to start translating the secrets hidden within the human genome into real world applications. Ensembl has grown into a champion of biodiversity, providing data for tens of thousands of species across our vertebrate, metazoa, plant, fungi and bacterial divisions. - MGnify (http://www.ebi.ac.uk/metagenomics) provides a free to use platform for the assembly, analysis and archiving of microbiome data derived from sequencing microbial populations that are present in particular environments. Over the past 2 years, MGnify has more than doubled the number of publicly available analysed datasets held within the resource. - WormBase (https://wormbase.org/) is one of the World's oldest active bioinformatic resources, more than 20 years old. We scan all published literature and datasets on the model organism C. elegans, to create a very comprehensive resouce of genomics, strains, experiments, paper and people, aimed towards accelerating research and discoveries in fundamental biology as well as human health. - The Hugo Gene Nomenclature Committee (HGNC) and its sibling project the Vertebrate Gene Nomenclature Committee (VGNC) are jointly responsible for defining the official names of genes in human and key vertebrate species. This official nomenclature ensures that studies and results on the same gene can easily be aggregated. Given the rapid pace of generation of genomics and sequencing data, we support a fast-evolving software stack, and are constantly investigating new solutions for data storage, processing, distribution and display. Please visit our projects page for ideas on potential GSoC projects: https://www.ensembl.info/about/projects/",https://www.ensembl.info/about/projects/,"python, mysql, docker, pytorch, nextflow","machine learning, genomics, big data, cloud, hpc",https://www.ensembl.info/about/gsoc-contributor-guide/,https://summerofcode.withgoogle.com/programs/2023/organizations/genome-assembly-and-annotation
cBioPortal for Cancer Genomics,Aid discovery in complex cancer genomics data,"The cBioPortal for Cancer Genomics is a resource designed to provide broad community access to cancer genomic data. It provides a unique user­-friendly and ""biology­-centric computational user interface"", with the goal of making genomic data more easily accessible to translational scientists, biologists, and clinicians. The interface was explicitly built and continues to evolve with careful usability studies involving multiple biological and clinical users, and an active and engaged user base. The public instance of cBioPortal (https://cbioportal.org/) is now one of the most popular online resources for cancer genomics data and attracts more than 4,000 unique visitors (cancer researchers and clinicians) per day. The two papers documenting the cBioPortal Cerami et al. Cancer Discov. 2012 & Gao et al. Sci. Signal. 2013 have been cited more than 5,600 and 5,100 times, respectively, since their publication. There are more than 30 actively used cBioPortal instances in hospitals, universities, pharmaceutical companies, and other institutes all over the globe. We are a group of software engineers, bioinformaticians, and cancer biologists building software solutions for precision medicine for cancer patients. Our overall goal is to build infrastructure to support clinical decisions for personalized cancer treatment by utilizing “big data” of cancer genomics and patient clinical profiles. Our multi-institutional team currently has more than 30 active members, primarily from Memorial Sloan Kettering Cancer Center, the Dana-Farber Cancer Institute, Princess Margaret Cancer Centre, Children's Hospital of Philadelphia, and The Hyve, a bioinformatics company from the Netherlands.",https://github.com/cBioPortal/gsoc/issues?q=is%3Aissue%20state%3Aopen%20label%3AGSoC-2025,"mysql, javascript, java, react, typescript","genomics, cancer, bioinformatics, big data, precision medicine",https://github.com/cBioPortal/GSoC,https://summerofcode.withgoogle.com/programs/2023/organizations/cbioportal-for-cancer-genomics
Dart,Dart is a client language for apps on any platform,"The Dart language gives you a fast developer experience and works on any platform. Dart powers hot reload enabling you to make a code change and instantly see results in your running app, and compiles to ARM and x64 machine code enabling quick app startup times for mobile, desktop and the web. Dart powers Flutter, Google’s UI toolkit for building beautiful, natively compiled applications for mobile, web, and desktop from a single codebase.",https://github.com/dart-lang/sdk/blob/main/docs/gsoc/Dart-GSoC-2025-Project-Ideas.md,"flutter, dart","programming languages, mobile apps",https://github.com/dart-lang/sdk/wiki/Dart-GSoC-2024-Project-Ideas,https://summerofcode.withgoogle.com/programs/2023/organizations/dart
TensorFlow,TensorFlow is a ML framework for everyone.,"TensorFlow is an open-source machine learning framework for everyone. Originally developed by Google, TensorFlow now has >1,000 contributors from all around the world. TensorFlow supports multiple programming languages and applications, including Python, mobile, and web.",https://docs.google.com/document/d/1w7MoOy7FJwECdl3gifPttLN-HnRyWG1kJkTg2g8uKz4/edit?usp=sharing,"machine learning, tensorflow, ai, Jax, keras","education, research, machine learning, on-device machine learning",,https://summerofcode.withgoogle.com/programs/2023/organizations/tensorflow-d1
Submitty,Homework Autograding and Course Management Tools,"Submitty is an open source programming assignment submission system with secure and automated testing and grading, efficient manual TA/instructor grading, and additional tools for overall course management and communication between students and instructional staff. Submitty was launched by the Rensselaer Center for Open Source Software (RCOS) in 2014. https://github.com/Submitty/ Key Features + Secure testing of many programming languages: Python, C/C++, Java, etc. + Customizable automated grading with immediate feedback to students, and optional hidden or randomized tests. + Advanced grading tools: static analysis, JUnit, code coverage, memory debuggers, networked assignments, custom Docker containers, and screenshots/GIFs of graphics programs. + Individual or team assignments submittyed by drag-and-drop or version control. + Correct mistakes through multiple submissions, flexible ``late day’’ policy + Interface for complementary instructor/TA manual grading, regrade requests, anonymized peer grading. + Instructor bulk upload of scanned .pdf exams, QR code name matching, pdf annotation. + Supports course material hosting, term grades spreadsheet, plagiarism detection. + Integrated discussion forum, email announcements, lecture polling, office hours queue, and student activity dashboard. + Scales to multiple courses, thousands of students, multiple instructors and TAs per course + Open-source, free to use, install on your own hardware, or VPS Submitty has been used at a half dozen other universities and we aim to grow to more users and developers. The courses using Submitty cover the undergraduate and graduate curriculum from introductory programming courses, intermediate and advanced theory courses, popular junior/senior electives with team projects and written reports, and specialized graduate courses. We regularly present our work at the annual ACM SIGCSE conference.",https://submitty.org/developer/getting_started/project_ideas,"python, postgresql, javascript, c++, php","education, visualization, web, privacy/security, communication",https://submitty.org/developer/google_summer_of_code,https://summerofcode.withgoogle.com/programs/2023/organizations/submitty
OSGeo (Open Source Geospatial Foundation),The Open Source Geospatial Foundation,"The Open Source Geospatial Foundation (OSGeo) is a not-for-profit organization whose mission is to foster global adoption of open geospatial technology by being an inclusive software foundation devoted to an open philosophy and participatory community-driven development.

OSGeo serves as an umbrella organization for the Open Source Geospatial community in general and several code projects in particular:
* Web Mapping: deegree, geomajas, GeoMOOSE, GeoServer, Mapbender, MapFish, MapGuide Open Source, MapServer, OpenLayers.
* Desktop Applications: GRASS GIS, gvSIG, Marble, QGIS.
* Geospatial Libraries: FDO, GDAL/OGR, GEOS, GeoTools, OSSIM, PostGIS.
* Metadata Catalogues: GeoNetwork, pycsw.
* Content Management Systems: GeoNode.
* Community Projects: pgRouting, istSOS, MetaCRS, Opticks, Orfeo ToolBox (OTB), PyWPS, Team Engine, ZOO-Project.
* Other (non-code) Projects: GeoForAll (Education and Curriculum), OSGeoLive DVD, Public Geospatial Data.

We host regional and international FOSS4G conferences with typical attendance of 500-1100+ geospatial developers, industry and government leaders, and researchers. Our mailing lists collectively go out to ~ 30,000 unique subscribers.",https://wiki.osgeo.org/wiki/Google_Summer_of_Code_2025_Ideas,"c, python, javascript, java, c++","open science, gis, citizen science, geolocation, mapping",https://wiki.osgeo.org/wiki/Google_Summer_of_Code_Recommendations_for_Students,https://summerofcode.withgoogle.com/programs/2023/organizations/osgeo-open-source-geospatial-foundation
CNCF,Building sustainable ecosystems for cloud native,"Cloud Native Computing Foundation (CNCF) serves as the vendor-neutral home for many of the fastest-growing open source projects, including Kubernetes, Prometheus, and Envoy.",https://github.com/cncf/mentoring/blob/main/programs/summerofcode/2025.md,"prometheus, kubernetes, OpenTelemetry, envoy","cloud, cloud native, observability",https://github.com/cncf/mentoring,https://summerofcode.withgoogle.com/programs/2023/organizations/cncf
Learning Equality,Building equity in education to transform lives,"Learning Equality is an education technology nonprofit that develops and maintains Kolibri, an adaptable set of open solutions specially designed to support teaching and learning with technology but without the Internet for the half of the world that still lacks access to connectivity. Kolibri is centered around an offline-first learning platform that runs on a variety of low-cost and legacy devices. It is complemented by a curricular tool, a library of open educational materials, and a toolkit of resources to support training and implementation. These tools are open and available in a variety of languages, to better support learners and educators globally. As a community-driven nonprofit, Learning Equality works closely to co-design Kolibri with a core network of collaborators, including national NGOs, UN agencies, government, and corporate partners. We also adopt a needs-based approach, constantly gathering insights from our community to inform the development of our tools. Through its do-it-yourself adoption model and strategic collaborations, Kolibri has reached learners and educators in more than 220 countries and territories since its launch in 2017. Given our offline access and distribution model, we learn about usage of Kolibri through a combination of telemetry ping backs of high level, aggregate, anonymized statistics, data from partners, and use of our Kolibri Data Portal. Since instances of Kolibri never need to connect to the Internet to be used, we do not know about usage across every instance, which is why this is an informed estimate from years of data.",https://docs.google.com/document/d/e/2PACX-1vT49WKgbsAIUoJ0jJS8LTWWm7UTByM0Pw3qt0KgyU_BShB1oGtZBkrEWuannFsRMVvGd0QBytZt8blh/pub,"python, javascript, django, vue.js","education, distributed databases, offline, learning",https://learningequality.org/r/gsoc-contributor-guidelines,https://summerofcode.withgoogle.com/programs/2023/organizations/learning-equality
CRIU,Chekpoint/Restore for Linux tasks and containers,"CRIU (stands for Checkpoint/Restore In Userspace), is a Linux software. It can freeze a running container (or an individual application) and checkpoint its state to disk. The data saved can be used to restore the application and run it exactly as it was during the time of the freeze. Using this functionality, application or container live migration, snapshots, remote debugging, and many other things are now possible. CRIU is packaged for all leading Linux distributions and it is integrated wit lots of popular projects such as Docker, Podman, LXC/LXD, OpenVZ, runc, open-mpi and others",https://criu.org/Google_Summer_of_Code_Ideas,"c, python, linux, go","cloud, containers, Checkpoint/Restore",https://github.com/checkpoint-restore/criu/blob/criu-dev/CONTRIBUTING.md,https://summerofcode.withgoogle.com/programs/2023/organizations/criu
