project title,tagline,description,ideas,technologies,topics,contributor_guidance,url
The Rust Foundation,A language empowering everyone,"The Rust Project is a group of developers and maintainers who build and support the Rust programming language. Organised into teams, they develop new features and mantain the Rust language, its compiler and standard library, and also all kinds of infrastructure that supports Rust. This application is being made by the Rust Foundation, the legal entity for the Rust Programming language, working in close association with representatives from the Rust Project.",https://github.com/rust-lang/google-summer-of-code,"python, rust","compilers, programming languages",https://github.com/rust-lang/google-summer-of-code/blob/main/gsoc/proposal-guide.md,https://summerofcode.withgoogle.com/programs/2024/organizations/the-rust-foundation
KubeVirt,Building a virtualization API for Kubernetes,"KubeVirt is a virtual machine management extension for Kubenetes, allowing you to create and manage virtualised workloads natively alongside container workloads. It does this by adding virtualization resources through the Kubernetes Custom Resource Definition API. KubeVirt is a Cloud Native Computing Project (CNCF) incubating project.",https://github.com/kubevirt/community/wiki/Google-Summer-of-Code-2025,"golang, grpc","virtualization, containers, kubernetes",https://github.com/kubevirt/community/wiki/Google-Summer-of-Code-2025#how-and-where-to-find-help,https://summerofcode.withgoogle.com/programs/2024/organizations/kubevirt
OpenELIS Global,Empowering labs to Ensure Quality Health Care,"OpenELIS Global (Open Enterprise laboratory Information System) is an open-source, standards-based, and secure lab information system for labs of any size and need. It is an enterprise-level laboratory information system built on open-source web-based technologies that has been tailored for low- and middle-income country public health laboratories. The software serves as both an effective laboratory software solution and a business process framework. It supports the effective functioning of public health laboratories for best laboratory practice and accreditation.",https://uwdigi.atlassian.net/wiki/spaces/OG/pages/321224705/GSoC+2025,"postgresql, javascript, java, react, spring","Health Care, Laboratory Information System",https://uwdigi.atlassian.net/wiki/spaces/OG/pages/245694473/GSoC+Guidelines+for+Students,https://summerofcode.withgoogle.com/programs/2024/organizations/openelis-global
Eclipse Foundation,The Global Open Source Foundation,"The Eclipse Foundation provides our global community of individuals & organizations with a mature, scalable, and business-friendly environment for OSS collaboration and innovation. Eclipse is an open source community that's focused around key principles of transparency, openness, and vendor neutrality: the work that we do is done in a manner that can be observed by anybody with an interest; project teams welcome new ideas, and invites others to participate; and vendor neutrality ensures that no single vendor can dominate a project and that everybody plays by the same set of rules (a so-called ""level playing field""). Naturally, Eclipse projects are also all about the code. With over three hundred and sixty (https://projects.eclipse.org/) open source projects covering a diverse set of of technologies, there's something here for everybody. Eclipse projects build technology in areas such as Internet of Things (https://projects.eclipse.org/technology-type/internet-things), Programming Languages and IDE (https://projects.eclipse.org/technology-type/language), and Runtimes (https://projects.eclipse.org/technology-type/runtime) like Jetty and EE4J (http://www.eclipse.org/ee4j) (currently known as Java EE). For those students interested in research, we have an entire working group focused on Science (https://projects.eclipse.org/projects/science) where researches from some of the world's most prestigious labs do open source development to support their research areas.",https://gitlab.eclipse.org/eclipsefdn/emo-team/gsoc-at-the-ef/-/issues/?sort=due_date&state=opened&label_name%5B%5D=Project%20Idea&label_name%5B%5D=GSoC%202025&first_page_size=50,"java, rtos, eclipsejavaide, jakartaee, softwaredefinedvehicles","robotics, automotive, tools, cloud native java, iot & edge",https://gitlab.eclipse.org/eclipsefdn/emo-team/gsoc-at-the-ef/-/blob/main/README.md,https://summerofcode.withgoogle.com/programs/2024/organizations/eclipse-foundation
Neutralinojs,Lightweight cross-platform desktop app framework,"Neutralinojs is a lightweight and portable desktop application development framework. It lets you develop lightweight cross-platform desktop applications using JavaScript, HTML, and CSS. You can extend Neutralinojs with any programming language (via extensions IPC) and use Neutralinojs as a part of any source file (via child processes IPC).",https://github.com/neutralinojs/gsoc2025,"c, javascript, node.js, c++, typescript","desktop, framework, cross-platform, Application Development",https://neutralino.js.org/docs/contributing/framework-developer-guide/,https://summerofcode.withgoogle.com/programs/2024/organizations/neutralinojs
The P4 Language Consortium,Evolve the programmable data plane ecosystem!,"Programming Protocol-independent Packet Processors (P4) is a domain-specific language for network devices, specifying how data plane devices (switches, NICs, routers, filters, etc.) process packets. Before P4, vendors had total control over the functionality supported in the network. And since networking silicon determined much of the possible behavior, silicon vendors controlled the rollout of new features (e.g., VXLAN), and rollouts took years. P4 turns the traditional model on its head. Application developers and network engineers can now use P4 to implement specific behavior in the network, and changes can be made in minutes instead of years.",https://github.com/p4lang/gsoc/blob/main/2025/ideas_list.md,"llvm, c++, mlir, ebpf, Z3","networking, programming language, compiler, AI/ML Networking, networking security",https://github.com/p4lang/gsoc/blob/main/2025/contributor_guidance.md,https://summerofcode.withgoogle.com/programs/2024/organizations/the-p4-language-consortium
OpenStreetMap,Create and distribute free geodata for the world,"OpenStreetMap is a crowdsourcing project that creates and distributes free geographic data for the world. Our data is collected by hundreds of thousands of contributors around the globe and released with an open-content license. We allow free access not only to our map products, but all the underlying map data, which powers websites and apps used by billions of people worldwide. OSM data can be freely used in both open and closed source software, and has attracted many commercial users. Still, the success of OSM wouldn't be possible without open source software and volunteer developers. The database, website and API running on our own servers, the editing tools used by contributors to improve the map, and many of the most popular libraries and end-user applications within the OSM software ecosystem are all open source software, and developed through a community-driven process. As our Google Summer of Code participation spans this diverse set of software projects, most of which are maintained as independent efforts under the OSM umbrella, contributors will encounter a wide range of programming languages, paradigms and use cases. We hope that we have interesting challenges to offer for any developer, no matter their background!",https://wiki.openstreetmap.org/wiki/Google_Summer_of_Code/2025/Project_ideas,"python, javascript, java, c++, rust","databases, web, ui, geodata",https://wiki.openstreetmap.org/wiki/Google_Summer_of_Code/2025,https://summerofcode.withgoogle.com/programs/2024/organizations/openstreetmap
Internet Archive,Universal Access to All Knowledge,The Internet Archive is a non-profit digital library. We are the home of the Wayback Machine.,https://docs.google.com/document/d/1oHNwPNYmHV5q3puBfv6IQFs-4gTe9XLN2iz2Lgse-1k/edit?tab=t.0,"python, javascript, go, elasticsearch, hadoop","library, media, archiving",,https://summerofcode.withgoogle.com/programs/2024/organizations/internet-archive
Drupal Association,The best open source digital experience platform,"The Drupal Association is the non-profit organization focused on accelerating Drupal, fostering the growth of the Drupal community, and supporting the project’s vision to create a safe, secure, and open web for everyone.",https://www.drupal.org/project/gsoc,"mysql, javascript, html, php, symfony","web, cloud, DXP, Massive community, Inclusive",https://www.drupal.org/community/contributor-guide/reference-information/google-summer-of-code/for-gsoc-students-where-to,https://summerofcode.withgoogle.com/programs/2024/organizations/drupal-association
libssh,The SSH library,"This project is for programmers needing a working SSH implementation by the mean of a library. The complete control of the client is made by the programmer. With libssh, you can remotely execute programs, transfer files, use a secure and transparent tunnel for your remote programs. With its Secure FTP implementation, you can play with remote files easily, without third-party programs others than libcrypto (from openssl), libgcrypt or mbedTLS.",https://www.libssh.org/development/google-summer-of-code/,"c, git, ci, ssh, sftp","security, cryptography",https://www.libssh.org/development/google-summer-of-code/,https://summerofcode.withgoogle.com/programs/2024/organizations/libssh
